image_id, usage, remain_area, combination, arrangement
33,73.1%,19.370000000000005,"A6,B6,C9,D8,E4","{D8:[[0.7, 3.7],[7.3, 3.7],[7.3, 7.2],[0.7, 7.2]],C9:[[2.2, 0.2],[7.3, 0.2],[7.3, 3.7],[2.2, 3.7]],B6:[[7.3, 3.3],[10.0, 3.3],[10.0, 5.7],[7.3, 5.7]],A6:[[0.1, 2.0],[2.1, 2.0],[2.1, 3.7],[0.1, 3.7]],E4:[[7.3, 5.9],[8.8, 5.9],[8.8, 7.1],[7.3, 7.1]]}"
34,73.08%,19.379999999999995,"A8,B7,C8,D8,E3","{D8:[[0.2, 0.2],[6.8, 0.2],[6.8, 3.7],[0.2, 3.7]],B7:[[6.8, 0.1],[9.8, 0.1],[9.8, 2.5],[6.8, 2.5]],C8:[[3.0, 3.7],[7.8, 3.7],[7.8, 7.2],[3.0, 7.2]],A8:[[0.2, 3.7],[2.6, 3.7],[2.6, 5.5],[0.2, 5.5]],E3:[[6.8, 2.6],[8.0, 2.6],[8.0, 3.6],[6.8, 3.6]]}"
35,73.06%,19.400000000000006,"A7,B7,C9,D7,E4","{D7:[[3.9, 0.7],[9.8, 0.7],[9.8, 4.2],[3.9, 4.2]],C9:[[0.4, 1.8],[3.9, 1.8],[3.9, 6.9],[0.4, 6.9]],B7:[[6.3, 4.2],[9.3, 4.2],[9.3, 6.6],[6.3, 6.6]],A7:[[4.3, 4.2],[6.0, 4.2],[6.0, 7.2],[4.3, 7.2]],E4:[[2.4, 0.5],[3.9, 0.5],[3.9, 1.7],[2.4, 1.7]]}"
36,73.04%,19.41000000000001,"A3,B7,C9,D8,E4","{D8:[[1.8, 3.7],[8.4, 3.7],[8.4, 7.2],[1.8, 7.2]],E4:[[2.8, 2.5],[4.3, 2.5],[4.3, 3.7],[2.8, 3.7]],C9:[[4.5, 0.2],[9.6, 0.2],[9.6, 3.7],[4.5, 3.7]],B7:[[0.3, 0.7],[2.7, 0.7],[2.7, 3.7],[0.3, 3.7]],A3:[[8.4, 4.9],[9.6, 4.9],[9.6, 7.1],[8.4, 7.1]]}"
37,73.00999999999999%,19.43,"A8,B7,C9,D8,E1","{D8:[[0.2, 3.6],[6.8, 3.6],[6.8, 7.1],[0.2, 7.1]],E1:[[4.4, 2.6],[4.5, 2.6],[4.5, 3.6],[4.4, 3.6]],A8:[[0.6, 1.8],[3.0, 1.8],[3.0, 3.6],[0.6, 3.6]],C9:[[4.9, 0.1],[10.0, 0.1],[10.0, 3.6],[4.9, 3.6]],B7:[[6.8, 3.8],[9.8, 3.8],[9.8, 6.2],[6.8, 6.2]]}"
38,72.99%,19.450000000000003,"A6,B7,C9,D8,E2","{D8:[[0.6, 3.7],[7.2, 3.7],[7.2, 7.2],[0.6, 7.2]],C9:[[0.7, 0.2],[5.8, 0.2],[5.8, 3.7],[0.7, 3.7]],B7:[[5.9, 1.3],[8.9, 1.3],[8.9, 3.7],[5.9, 3.7]],A6:[[7.2, 4.3],[9.2, 4.3],[9.2, 6.0],[7.2, 6.0]],E2:[[7.2, 6.1],[8.2, 6.1],[8.2, 7.1],[7.2, 7.1]]}"
39,72.92%,19.5,"A8,B6,C8,D8,E4","{D8:[[3.2, 0.0],[9.8, 0.0],[9.8, 3.5],[3.2, 3.5]],A8:[[5.7, 3.5],[8.1, 3.5],[8.1, 5.3],[5.7, 5.3]],C8:[[0.1, 3.5],[4.9, 3.5],[4.9, 7.0],[0.1, 7.0]],E4:[[8.4, 3.5],[9.9, 3.5],[9.9, 4.7],[8.4, 4.7]],B6:[[0.5, 0.2],[3.2, 0.2],[3.2, 2.6],[0.5, 2.6]]}"
40,72.89%,19.519999999999996,"A7,B6,C8,D8,E2","{D8:[[0.1, 0.2],[6.7, 0.2],[6.7, 3.7],[0.1, 3.7]],B6:[[6.7, 1.1],[9.4, 1.1],[9.4, 3.5],[6.7, 3.5]],C8:[[2.5, 3.7],[7.3, 3.7],[7.3, 7.2],[2.5, 7.2]],A7:[[0.6, 3.7],[2.3, 3.7],[2.3, 6.7],[0.6, 6.7]],E2:[[6.7, 0.1],[7.7, 0.1],[7.7, 1.1],[6.7, 1.1]]}"
41,72.88%,19.53,"A8,B4,C9,D8,E4","{D8:[[0.0, 3.5],[6.6, 3.5],[6.6, 7.0],[0.0, 7.0]],C9:[[3.4, 0.0],[8.5, 0.0],[8.5, 3.5],[3.4, 3.5]],A8:[[0.3, 1.7],[2.7, 1.7],[2.7, 3.5],[0.3, 3.5]],B4:[[6.6, 5.1],[9.6, 5.1],[9.6, 6.9],[6.6, 6.9]],E4:[[6.6, 3.6],[8.1, 3.6],[8.1, 4.8],[6.6, 4.8]]}"
42,72.85000000000001%,19.550000000000004,"A7,B4,C9,D8,E2","{D8:[[1.9, 0.1],[8.5, 0.1],[8.5, 3.6],[1.9, 3.6]],C9:[[1.1, 3.6],[6.2, 3.6],[6.2, 7.1],[1.1, 7.1]],A7:[[6.5, 3.6],[9.5, 3.6],[9.5, 5.3],[6.5, 5.3]],E2:[[8.5, 2.0],[9.5, 2.0],[9.5, 3.0],[8.5, 3.0]],B4:[[0.1, 0.4],[1.9, 0.4],[1.9, 3.4],[0.1, 3.4]]}"
43,72.81%,19.58,"A8,B7,C8,D8,E2","{D8:[[0.4, 0.2],[7.0, 0.2],[7.0, 3.7],[0.4, 3.7]],A8:[[7.0, 0.2],[9.4, 0.2],[9.4, 2.0],[7.0, 2.0]],C8:[[2.4, 3.7],[7.2, 3.7],[7.2, 7.2],[2.4, 7.2]],B7:[[0.0, 3.7],[2.4, 3.7],[2.4, 6.7],[0.0, 6.7]],E2:[[7.0, 2.2],[8.0, 2.2],[8.0, 3.2],[7.0, 3.2]]}"
44,72.78%,19.60000000000001,"A5,B7,C8,D8,E4","{D8:[[2.9, 0.1],[9.5, 0.1],[9.5, 3.6],[2.9, 3.6]],E4:[[6.4, 3.6],[7.9, 3.6],[7.9, 4.8],[6.4, 4.8]],C8:[[1.1, 3.6],[5.9, 3.6],[5.9, 7.1],[1.1, 7.1]],A5:[[8.3, 3.6],[9.7, 3.6],[9.7, 6.1],[8.3, 6.1]],B7:[[0.5, 0.5],[2.9, 0.5],[2.9, 3.5],[0.5, 3.5]]}"
45,72.64%,19.699999999999996,"A7,B7,C8,D8,E1","{D8:[[0.9, 3.5],[7.5, 3.5],[7.5, 7.0],[0.9, 7.0]],C8:[[3.9, 0.0],[8.7, 0.0],[8.7, 3.5],[3.9, 3.5]],B7:[[0.6, 1.1],[3.6, 1.1],[3.6, 3.5],[0.6, 3.5]],A7:[[7.5, 3.9],[9.2, 3.9],[9.2, 6.9],[7.5, 6.9]],E1:[[3.7, 2.5],[3.8, 2.5],[3.8, 3.5],[3.7, 3.5]]}"
