image_id, usage, remain_area, combination, arrangement
31,78.64999999999999%,15.370000000000005,"A5,B6,C9,D8,E2,F1","{D8:[[1.9, 0.1],[8.5, 0.1],[8.5, 3.6],[1.9, 3.6]],C9:[[0.2, 3.6],[5.3, 3.6],[5.3, 7.1],[0.2, 7.1]],B6:[[6.5, 3.6],[9.2, 3.6],[9.2, 6.0],[6.5, 6.0]],A5:[[8.5, 1.0],[9.9, 1.0],[9.9, 3.5],[8.5, 3.5]],E2:[[8.5, 0.0],[9.7, 0.0],[9.7, 1.0],[8.5, 1.0]],F1:[[0.4, 0.4],[1.9, 0.4],[1.9, 3.4],[0.4, 3.4]]}"
32,78.60000000000001%,15.410000000000004,"A7,B5,C9,D8,E1,F1","{D8:[[1.9, 3.6],[8.5, 3.6],[8.5, 7.1],[1.9, 7.1]],E1:[[5.4, 2.6],[6.4, 2.6],[6.4, 3.6],[5.4, 3.6]],C9:[[0.0, 0.1],[5.1, 0.1],[5.1, 3.6],[0.0, 3.6]],F1:[[8.5, 3.9],[10.0, 3.9],[10.0, 6.9],[8.5, 6.9]],B5:[[7.0, 1.5],[9.4, 1.5],[9.4, 3.6],[7.0, 3.6]],A7:[[0.2, 3.8],[1.9, 3.8],[1.9, 6.8],[0.2, 6.8]]}"
33,78.53999999999999%,15.450000000000003,"A7,B7,C7,D8,E3,F1","{D8:[[1.9, 0.3],[8.5, 0.3],[8.5, 3.8],[1.9, 3.8]],C7:[[0.1, 3.8],[4.6, 3.8],[4.6, 7.1],[0.1, 7.1]],E3:[[8.5, 0.1],[10.0, 0.1],[10.0, 1.3],[8.5, 1.3]],B7:[[6.8, 3.8],[9.8, 3.8],[9.8, 6.2],[6.8, 6.2]],F1:[[0.4, 0.7],[1.9, 0.7],[1.9, 3.7],[0.4, 3.7]],A7:[[4.6, 3.8],[6.3, 3.8],[6.3, 6.8],[4.6, 6.8]]}"
34,78.51%,15.469999999999999,"A6,B6,C9,D8,E2,F1","{D8:[[1.9, 0.2],[8.5, 0.2],[8.5, 3.7],[1.9, 3.7]],C9:[[0.6, 3.7],[5.7, 3.7],[5.7, 7.2],[0.6, 7.2]],E2:[[8.5, 1.2],[9.7, 1.2],[9.7, 2.2],[8.5, 2.2]],B6:[[5.7, 3.7],[8.4, 3.7],[8.4, 6.1],[5.7, 6.1]],F1:[[8.5, 2.2],[10.0, 2.2],[10.0, 5.2],[8.5, 5.2]],A6:[[0.2, 1.0],[1.9, 1.0],[1.9, 3.0],[0.2, 3.0]]}"
35,78.47%,15.5,"A7,B7,C9,D7,E2,F1","{D7:[[2.1, 0.0],[8.0, 0.0],[8.0, 3.5],[2.1, 3.5]],A7:[[8.0, 0.1],[9.7, 0.1],[9.7, 3.1],[8.0, 3.1]],C9:[[0.0, 3.5],[5.1, 3.5],[5.1, 7.0],[0.0, 7.0]],E2:[[5.8, 3.5],[7.0, 3.5],[7.0, 4.5],[5.8, 4.5]],B7:[[7.0, 3.5],[10.0, 3.5],[10.0, 5.9],[7.0, 5.9]],F1:[[0.6, 0.2],[2.1, 0.2],[2.1, 3.2],[0.6, 3.2]]}"
36,78.46%,15.510000000000005,"A3,B7,C9,D8,E2,F1","{D8:[[2.0, 0.1],[8.6, 0.1],[8.6, 3.6],[2.0, 3.6]],B7:[[1.9, 3.6],[4.9, 3.6],[4.9, 6.0],[1.9, 6.0]],C9:[[4.9, 3.6],[10.0, 3.6],[10.0, 7.1],[4.9, 7.1]],F1:[[0.5, 0.7],[2.0, 0.7],[2.0, 3.7],[0.5, 3.7]],A3:[[8.6, 0.1],[9.8, 0.1],[9.8, 2.3],[8.6, 2.3]],E2:[[8.6, 2.6],[9.8, 2.6],[9.8, 3.6],[8.6, 3.6]]}"
37,78.36999999999999%,15.570000000000007,"A5,B6,C9,D8,E1,F1","{D8:[[1.5, 0.2],[8.1, 0.2],[8.1, 3.7],[1.5, 3.7]],C9:[[1.3, 3.7],[6.4, 3.7],[6.4, 7.2],[1.3, 7.2]],B6:[[6.9, 3.7],[9.6, 3.7],[9.6, 6.1],[6.9, 6.1]],E1:[[8.1, 0.2],[9.1, 0.2],[9.1, 1.2],[8.1, 1.2]],A5:[[8.1, 1.2],[9.5, 1.2],[9.5, 3.7],[8.1, 3.7]],F1:[[0.0, 0.3],[1.5, 0.3],[1.5, 3.3],[0.0, 3.3]]}"
38,78.33%,15.600000000000009,"A7,B2,C9,D8,E3,F1","{D8:[[1.7, 0.1],[8.3, 0.1],[8.3, 3.6],[1.7, 3.6]],C9:[[0.5, 3.6],[5.6, 3.6],[5.6, 7.1],[0.5, 7.1]],B2:[[8.3, 1.5],[9.8, 1.5],[9.8, 4.2],[8.3, 4.2]],E3:[[8.3, 0.3],[9.8, 0.3],[9.8, 1.5],[8.3, 1.5]],A7:[[5.7, 3.6],[7.4, 3.6],[7.4, 6.6],[5.7, 6.6]],F1:[[0.2, 0.2],[1.7, 0.2],[1.7, 3.2],[0.2, 3.2]]}"
39,78.31%,15.620000000000005,"A7,B6,C9,D7,E3,F1","{D7:[[2.5, 0.1],[8.4, 0.1],[8.4, 3.6],[2.5, 3.6]],F1:[[8.4, 1.8],[9.9, 1.8],[9.9, 4.8],[8.4, 4.8]],E3:[[8.4, 0.3],[9.9, 0.3],[9.9, 1.5],[8.4, 1.5]],C9:[[0.7, 3.6],[5.8, 3.6],[5.8, 7.1],[0.7, 7.1]],B6:[[5.9, 3.6],[8.3, 3.6],[8.3, 6.3],[5.9, 6.3]],A7:[[0.8, 0.6],[2.5, 0.6],[2.5, 3.6],[0.8, 3.6]]}"
40,78.29%,15.629999999999995,"A8,B4,C9,D8,E2,F1","{D8:[[1.5, 3.6],[8.1, 3.6],[8.1, 7.1],[1.5, 7.1]],C9:[[4.8, 0.1],[9.9, 0.1],[9.9, 3.6],[4.8, 3.6]],B4:[[0.7, 1.8],[3.7, 1.8],[3.7, 3.6],[0.7, 3.6]],A8:[[8.1, 4.7],[9.9, 4.7],[9.9, 7.1],[8.1, 7.1]],F1:[[0.0, 4.1],[1.5, 4.1],[1.5, 7.1],[0.0, 7.1]],E2:[[8.1, 3.7],[9.3, 3.7],[9.3, 4.7],[8.1, 4.7]]}"
